,years,periods,paths,urls
0,2024,q1,amzn_sec_q1_2024.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/04741924-2b6f-4934-91ab-1ccae56f0f9b.pdf
1,2024,q2,amzn_sec_q2_2024.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/a91f9651-a671-46f5-9c42-324fe7dd11ea.pdf
2,2024,q3,amzn_sec_q3_2024.pdf,
3,2023,q1,amzn_sec_q1_2023.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/394e4b27-bf11-4bcf-b650-2ac1b9fe2a14.pdf
4,2023,q2,amzn_sec_q2_2023.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/004e15aa-5d50-4fb3-9e2f-0ad36639778f.pdf
5,2023,q3,amzn_sec_q3_2023.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/64aef25f-17ea-4c46-985a-814cb89f6182.pdf
6,2022,q1,amzn_sec_q1_2022.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/0fcecec8-0ae1-4c23-904c-a5392f63685e.pdf
7,2022,q2,amzn_sec_q2_2022.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/56f9e4fc-22e2-46e8-9a3d-8112bacd7568.pdf
8,2022,q3,amzn_sec_q3_2022.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/8ee63b0f-5406-44c6-aaf2-8964e93f4c9f.pdf
9,2021,q1,amzn_sec_q1_2021.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/553e7af3-f707-4ef3-9f94-222888725a97.pdf
10,2021,q2,amzn_sec_q2_2021.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/cbae1abf-eddb-4451-9186-6753b02cc4eb.pdf
11,2021,q3,amzn_sec_q3_2021.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/06c52e44-38c4-42b0-90c4-14916435e83e.pdf
12,2020,q1,amzn_sec_q1_2020.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/708a19c5-7d8c-4fc9-ab37-bfaa7a31629b.pdf
13,2020,q2,amzn_sec_q2_2020.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/a77b5839-99b8-4851-8f37-0b012f9292b9.pdf
14,2020,q3,amzn_sec_q3_2020.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/2ee5455d-dee2-495f-8dcf-b3c0a9fbdf55.pdf
15,2019,q1,amzn_sec_q1_2019.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/02a9f9b9-942a-4ec3-a581-2a148c12f15e.pdf
16,2019,q2,amzn_sec_q2_2019.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/70ecbdb6-8466-4c9d-b6ff-84b616ff2993.pdf
17,2019,q3,amzn_sec_q3_2019.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/96cf5724-d8f6-41ee-b7e0-cf5791ad7de2.pdf
18,2018,q1,amzn_sec_q1_2018.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/8161a35b-95f1-4ae9-a3b0-3eb213433290.pdf
19,2018,q2,amzn_sec_q2_2018.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/5d3782d8-ab75-4914-8f27-a40b68ffe604.pdf
20,2018,q3,amzn_sec_q3_2018.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/cc632bf0-fa99-4efd-a0cf-fce235e45116.pdf
21,2017,q1,amzn_sec_q1_2017.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/f6278426-40de-4f3d-93a6-560f1160f4b2.pdf
22,2017,q2,amzn_sec_q2_2017.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/8565636b-e12e-4d15-a795-e5cf97c49635.pdf
23,2017,q3,amzn_sec_q3_2017.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/c482d628-304a-430c-be23-2aeea703f031.pdf
24,2016,q1,amzn_sec_q1_2016.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/47e09000-c6d0-4a63-974a-895df30666a2.pdf
25,2016,q2,amzn_sec_q2_2016.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/e033a76d-6884-4ec7-ba8c-ef06ef721434.pdf
26,2016,q3,amzn_sec_q3_2016.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/279822f5-fd11-4fe6-9b09-c2501e688c29.pdf
